0,1,2,3,4,5,6,7,8,9,10
other vegetables,seasonal products,bottled water,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
herbs,vinegar,shopping bags,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
UHT-milk,specialty cheese,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,waffles,,,,,,,,,
yogurt,male cosmetics,sugar,salt,,,,,,,
beverages,other vegetables,,,,,,,,,
soda,nut snack,,,,,,,,,
bottled water,soda,margarine,candy,,,,,,,
shopping bags,salty snack,house keeping products,,,,,,,,
sausage,bottled beer,whole milk,frozen vegetables,,,,,,,
butter,dish cleaner,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
yogurt,tea,,,,,,,,,
soda,grapes,,,,,,,,,
tropical fruit,pasta,napkins,,,,,,,,
yogurt,whole milk,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
tropical fruit,soda,,,,,,,,,
UHT-milk,berries,shopping bags,,,,,,,,
frankfurter,whole milk,whole milk,specialty bar,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
whole milk,butter milk,,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
salt,frozen vegetables,,,,,,,,,
bottled water,canned beer,,,,,,,,,
brown bread,pet care,,,,,,,,,
yogurt,red/blush wine,margarine,,,,,,,,
herbs,root vegetables,,,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
dessert,salty snack,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
pip fruit,misc. beverages,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
frankfurter,berries,,,,,,,,,
onions,hard cheese,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
butter,soda,oil,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
rolls/buns,pastry,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
other vegetables,sparkling wine,frozen meals,rolls/buns,,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
chicken,pastry,,,,,,,,,
pork,other vegetables,,,,,,,,,
fruit/vegetable juice,pastry,,,,,,,,,
pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
frankfurter,whipped/sour cream,bottled water,,,,,,,,
dishes,rolls/buns,,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
chicken,tropical fruit,,,,,,,,,
tropical fruit,finished products,whole milk,fruit/vegetable juice,rolls/buns,,,,,,
root vegetables,flower (seeds),,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
pork,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
pastry,waffles,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
beverages,shopping bags,,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
whole milk,whole milk,pastry,pickled vegetables,,,,,,,
sausage,processed cheese,baking powder,specialty cheese,,,,,,,
tropical fruit,citrus fruit,bottled water,rolls/buns,soda,pickled vegetables,,,,,
tropical fruit,pork,soda,onions,,,,,,,
sausage,coffee,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
ham,pastry,whole milk,specialty bar,tropical fruit,hard cheese,yogurt,candy,,,
other vegetables,soda,,,,,,,,,
soft cheese,butter milk,shopping bags,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
pork,beef,canned beer,newspapers,fruit/vegetable juice,,,,,,
long life bakery product,condensed milk,,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
whole milk,sauces,,,,,,,,,
tropical fruit,yogurt,misc. beverages,,,,,,,,
beef,specialty chocolate,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
frankfurter,tropical fruit,frozen meals,soda,,,,,,,
frankfurter,dog food,,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
bottled water,other vegetables,,,,,,,,,
UHT-milk,frozen fish,,,,,,,,,
finished products,spread cheese,,,,,,,,,
root vegetables,roll products ,root vegetables,whole milk,,,,,,,
specialty chocolate,root vegetables,popcorn,soups,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
white bread,root vegetables,,,,,,,,,
bottled water,yogurt,,,,,,,,,
yogurt,brown bread,,,,,,,,,
long life bakery product,long life bakery product,whipped/sour cream,soda,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
chicken,bottled water,,,,,,,,,
meat,bottled water,,,,,,,,,
rum,onions,,,,,,,,,
pastry,other vegetables,,,,,,,,,
whole milk,sugar,,,,,,,,,
canned beer,pastry,,,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
long life bakery product,butter,rolls/buns,newspapers,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
bottled water,bottled water,,,,,,,,,
sausage,root vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
citrus fruit,whipped/sour cream,onions,other vegetables,butter,,,,,,
root vegetables,instant coffee,root vegetables,,,,,,,,
whole milk,candy,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
butter,sugar,,,,,,,,,
beef,bottled beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
bottled water,citrus fruit,butter,whole milk,,,,,,,
sausage,specialty cheese,,,,,,,,,
liquor (appetizer),long life bakery product,,,,,,,,,
beef,candy,,,,,,,,,
canned beer,frozen meals,pastry,,,,,,,,
misc. beverages,liquor,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
whole milk,flour,,,,,,,,,
berries,bottled water,napkins,,,,,,,,
frankfurter,beverages,,,,,,,,,
sausage,canned beer,,,,,,,,,
pip fruit,dishes,soft cheese,,,,,,,,
tropical fruit,house keeping products,,,,,,,,,
waffles,chocolate,,,,,,,,,
soda,dessert,,,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
brown bread,whole milk,,,,,,,,,
beverages,beverages,,,,,,,,,
salty snack,canned beer,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
bottled beer,pip fruit,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
root vegetables,yogurt,newspapers,,,,,,,,
whole milk,yogurt,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
specialty bar,rolls/buns,processed cheese,,,,,,,,
citrus fruit,coffee,,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
hygiene articles,brown bread,,,,,,,,,
bottled beer,butter,,,,,,,,,
root vegetables,oil,soda,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frankfurter,curd,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
beef,soda,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
rolls/buns,sugar,,,,,,,,,
white bread,bottled water,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
pork,butter,,,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
soda,coffee,cling film/bags,,,,,,,,
onions,oil,,,,,,,,,
hard cheese,waffles,,,,,,,,,
canned beer,brandy,waffles,cat food,dishes,light bulbs,,,,,
beef,yogurt,,,,,,,,,
meat,tropical fruit,yogurt,candles,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
citrus fruit,soda,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
other vegetables,coffee,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,detergent,,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
soda,beef,,,,,,,,,
pip fruit,waffles,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,,
salty snack,soups,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
pip fruit,ice cream,newspapers,pastry,,,,,,,
mustard,whole milk,,,,,,,,,
tropical fruit,bottled water,dessert,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
yogurt,bottled water,processed cheese,,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
oil,male cosmetics,,,,,,,,,
pork,whole milk,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
curd,soda,rolls/buns,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
coffee,other vegetables,,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
bottled beer,tropical fruit,red/blush wine,baking powder,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
chicken,herbs,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
citrus fruit,ham,,,,,,,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
chicken,butter milk,,,,,,,,,
soda,root vegetables,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
onions,flour,whipped/sour cream,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
ham,rolls/buns,,,,,,,,,
soda,whole milk,newspapers,coffee,,,,,,,
citrus fruit,soda,herbs,oil,,,,,,,
root vegetables,shopping bags,,,,,,,,,
pip fruit,white wine,,,,,,,,,
sausage,specialty bar,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
pork,specialty bar,soda,,,,,,,,
ham,flour,whipped/sour cream,,,,,,,,
whipped/sour cream,flour,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
tropical fruit,soda,UHT-milk,,,,,,,,
mustard,curd,,,,,,,,,
canned beer,dessert,,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
tropical fruit,bottled beer,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
berries,other vegetables,,,,,,,,,
chicken,flour,,,,,,,,,
whole milk,pork,whole milk,whole milk,,,,,,,
berries,domestic eggs,,,,,,,,,
citrus fruit,white bread,white bread,,,,,,,,
bottled beer,canned beer,,,,,,,,,
sausage,bottled water,,,,,,,,,
sausage,root vegetables,brown bread,,,,,,,,
citrus fruit,make up remover,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
misc. beverages,whole milk,onions,yogurt,,,,,,,
other vegetables,salty snack,soda,,,,,,,,
pork,yogurt,,,,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
root vegetables,soda,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
bottled beer,bottled beer,,,,,,,,,
beef,chocolate,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
liquor,UHT-milk,,,,,,,,,
specialty chocolate,brown bread,,,,,,,,,
tropical fruit,sausage,ham,root vegetables,turkey,pastry,pasta,soda,,,
curd,domestic eggs,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
soda,curd,flower (seeds),,,,,,,,
root vegetables,beef,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
other vegetables,butter,pastry,UHT-milk,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
whole milk,cat food,,,,,,,,,
hamburger meat,grapes,candy,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
soda,roll products ,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
sausage,root vegetables,,,,,,,,,
newspapers,coffee,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
white wine,brown bread,,,,,,,,,
yogurt,napkins,,,,,,,,,
condensed milk,yogurt,,,,,,,,,
tropical fruit,vinegar,sauces,,,,,,,,
frozen meals,finished products,chocolate,other vegetables,whole milk,packaged fruit/vegetables,napkins,salty snack,,,
pork,cake bar,,,,,,,,,
salty snack,whole milk,,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
specialty chocolate,fruit/vegetable juice,fruit/vegetable juice,rolls/buns,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
curd,chocolate marshmallow,,,,,,,,,
root vegetables,soda,,,,,,,,,
butter,rolls/buns,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
packaged fruit/vegetables,yogurt,bottled beer,,,,,,,,
other vegetables,root vegetables,mayonnaise,,,,,,,,
pickled vegetables,pastry,brown bread,sugar,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
frankfurter,soda,,,,,,,,,
whole milk,rolls/buns,soda,,,,,,,,
sausage,pastry,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
sauces,frozen meals,,,,,,,,,
berries,shopping bags,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
meat,coffee,,,,,,,,,
soda,beef,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
dog food,white bread,,,,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
soda,candy,,,,,,,,,
